,tweet_id,timestamp,text,name,doggo,floofer,pupper,puppo,rating,dog_stage,jpg_url,img_num,dog_breed,confidence,retweet_count,favorite_count,user_count
0,892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,,,,1.3,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,one image,None,0.0,8853,39467,3200889
1,892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,,,,1.3,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,one image,Chihuahua,0.323581,6514,33819,3200889
2,891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,,,,1.2,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,one image,Chihuahua,0.716012,4328,25461,3200889
3,891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,,,,1.3,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,one image,Labrador_retriever,0.168086,8964,42908,3200889
4,891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,,,,1.2,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,two images,basset,0.555712,9774,41048,3200889
5,891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,,,,,1.3,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,one image,Chesapeake_Bay_retriever,0.425595,3261,20562,3200889
6,890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,,,,1.3,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,one image,Appenzeller,0.34170300000000003,2158,12041,3200889
7,890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,,,,,1.3,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,two images,Pomeranian,0.566142,16716,56848,3200889
8,890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,,,,1.3,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,one image,Irish_terrier,0.487574,4429,28226,3200889
9,890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,,,,1.4,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,one image,Pembroke,0.511319,7711,32467,3200889
10,890006608113172480,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,,,,1.3,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,one image,Samoyed,0.957979,7624,31166,3200889
11,889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,,,,,1.3,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,one image,French_bulldog,0.377417,5156,28268,3200889
12,889665388333682689,2017-07-25 01:55:32+00:00,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,None,,,,puppo,1.3,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,one image,Pembroke,0.966327,8538,38818,3200889
13,889638837579907072,2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,,,,,1.2,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,one image,French_bulldog,0.99165,4735,27672,3200889
14,889531135344209921,2017-07-24 17:02:04+00:00,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,,,,puppo,1.3,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,one image,golden_retriever,0.953442,2321,15359,3200889
